source_system,source_code,source_term,suggested_icd_name,confidence_score,justification
"Ayurveda","AAB","nAnAtmajavAtavikAraH","Other specified disorders of the nervous system","60%","The term 'nAnAtmajavAtavikAraH' lacks a precise definition, hindering specific ICD-11 mapping.  However,  'nAnAtmaja' suggesting diverse origins and 'vAtavikAraH' indicating a disorder potentially related to the nervous system, suggests a broad categorization within 'Other specified disorders of the nervous system'."
"Ayurveda","SQ00 (AAB-1)","atipralApaH (kEvalavAta)","Delirium","90%","The Ayurvedic description of atipralApaH (kEvalavAta) as irrelevant and irrational talk with mental confusion, stemming from Vata imbalance affecting cognitive function, closely matches the ICD-11 definition of Delirium, characterized by disturbed consciousness and cognition."
"Ayurveda","SQ05(AAB-2)","anavasthitacittatvam (kEvalavAta)","6A00", "80%", "The Ayurvedic term 'anavasthitacittatvam (kEvalavAta)' describes difficulty concentrating, fickleness, and confusion due to Vata imbalance, aligning with the ICD-11 chapter 6A00 (Neurodevelopmental disorders) which includes conditions involving cognitive impairments and inattentiveness, though not precisely diagnosing a specific disorder within that chapter, the overall symptom picture most closely resembles this broad category."
"Ayurveda","AAB-3 (SP9Y)","a~ggamardaH (kEvalavAta)","Pain in limb(s) due to Vata imbalance","90%","The term 'aṅgamardaḥ (kevalavāta)' suggests pain (marda) in the body (aṅga) solely caused by an imbalance of Vata, a principle in Ayurveda,  which most directly maps to musculoskeletal pain, aligning with ICD-11's broad categorization of limb pain without a precise etiology specified."
"Ayurveda","AAB-4 (SP9Y)","a~ggaSuShkatA (kEvalavAta)","Dry skin","60%","The term 'a~ggaSuShkatA' translates to dryness of the body,  while 'kEvalavAta' suggests a Vata imbalance, potentially related to dryness;  however, without further clinical detail, a precise ICD-11 mapping to a specific dermatological condition is difficult."
"Ayurveda","SP21 (AAB-5)","a~ggaviBraMSaH (kEvalavAta)","8G70-Musculoskeletal weakness","90%","The Ayurvedic description of 'a~ggaviBraMSaH (kEvalavAta)' as atony or flaccidity of joints, muscles, and body parts due to aggravated Vata aligns with the ICD-11 category 8G70, encompassing musculoskeletal weakness, as Vata dosha's imbalance often manifests in motor deficits."
"Ayurveda","AAB-6","arditaH (kEvalavAta)","G40.0, Parkinson's disease","60%","ArditaH (kEvalavAta), suggesting a purely Vata-related affliction in Ayurveda, may loosely correlate with Parkinson's disease, given Vata's association with motor control and tremor; however, this mapping lacks precision and requires further clinical details for higher confidence."
"Ayurveda","SM1P (AAB-7)","arasaj~jatA (kEvalavAta)","Taste disorder, unspecified","90%","The Ayurvedic term 'arasaj~jatA (kEvalavAta)' describes loss of taste (ageusia) potentially with anosmia and other symptoms, aligning with the broad definition of unspecified taste disorder in ICD-11, encompassing various etiologies."
"Ayurveda","AAB-8","aSabdaSravaNam (kEvalavAta)","6A00.0 Tinnitus", "60%", "The term 'aSabdaSravaNam' translates to 'hearing sounds' and '(kEvalavAta)' suggests a Vata imbalance, potentially correlating to a subjective auditory sensation without an external source, aligning with the ICD-11 definition of Tinnitus."
"Ayurveda","AAB-9","asvapnaH (kEvalavAta)","Insomnia", "60%", "While 'asvapnaH' translates to insomnia and 'kEvalavAta' suggests a possible underlying cause (Vata imbalance in Ayurveda), a precise mapping to a specific ICD-11 code requires more clinical information.  Insomnia is the closest match based on the available translation."
"Ayurveda","AAB-10","akShiBedaH (kEvalavAta)","Glaucoma","60%","While 'akShiBedaH (kEvalavAta)' points to an eye disorder possibly involving Vata dosha in Ayurveda, and 'kEvalavAta' suggests a purely Vata-related condition, the lack of precise definition makes a definitive ICD-11 mapping challenging. Glaucoma is a plausible option, considering it affects the eye and can have associated pain and pressure; however, more information is needed for higher confidence."
"Ayurveda","AAB-11","akShivyudAsaH (kEvalavAta)","8G40, Trigeminal neuralgia","70%","The term 'akShivyudAsaH (kEvalavAta)' suggests a unilateral pain condition, possibly affecting the trigeminal nerve distribution,  given 'kEvalavAta' implying a Vata imbalance in Ayurveda, which can manifest as sharp, shooting pains consistent with trigeminal neuralgia.  The lack of detailed definition limits confidence."
"Ayurveda","AAB-12","akShiSUlaH (kEvalavAta)","Neuralgia of the trigeminal nerve","90%","The term 'akShiSUlaH (kEvalavAta)' suggests a pain (shula) in the eye region (akShi), specifically attributed to Vata (wind) in Ayurvedic context, which often maps to neuropathic pain.  Trigeminal neuralgia, characterized by sharp, stabbing pain in the face, including the eye region, is the closest ICD-11 match."
"Ayurveda","AAB-13","ATopaH (kEvalavAta)","Unspecified disorder of the nervous system","60%","The provided information is insufficient to map ATopaH (kEvalavAta) to a specific ICD-11 code.  'kEvalavAta' suggests a Vata imbalance in Ayurveda, which broadly relates to neurological functions; however, without detailed clinical descriptions, 'Unspecified disorder of the nervous system' is the most cautious and general assignment."
"Ayurveda","AAB-14","AkShepakaH (kEvalavAta)","8G70- Epilepsy, unspecified","60%","The term 'AkShepakaH (kEvalavAta)' suggesting a purely Vata-related convulsive disorder, possibly indicates an epileptic seizure; however, without further clinical details, a specific epilepsy subtype cannot be definitively determined.  The ICD-11 code covers a broad spectrum of epilepsy."
"Ayurveda","SK84 (AAB-15)","uccaiHSrutiH (kEvalavAta)","Hyperacusis","90%","The Ayurvedic term 'uccaihsrutiH (kevalavata)' describes intolerance to loud sounds, a key symptom of hyperacusis, aligning with the ICD-11 definition which focuses on increased sensitivity to everyday sounds without hearing loss."
"Ayurveda","AAB-16","udarAveShTaH (kEvalavAta)","Pain in the abdomen, unspecified","60%","'UdarAveShTaH' refers to abdominal pain, and 'kEvalavAta' specifies it as being caused by Vata imbalance (Ayurveda dosha).  While lacking precise specifics, this generally points to abdominal pain as the most likely ICD-11 match, given the limited information."
"Ayurveda","AAB-17","udAvartaH (kEvalavAta)","8G70-Cervicalgia","60%","Udāvarta, specifically 'kēvalavāta' suggesting a localized Vata disorder,  points towards neck pain, although further details on symptoms are needed for higher confidence.  Cervicalgia in ICD-11 is the closest match based on this limited information."
"Ayurveda","AAB-18","UrustamBaH/ADhyavAtaH (kEvalavAta)","6A00.0  Sciatica", "60%","'UrustamBaH' suggests leg pain and stiffness, while 'ADhyavAtaH (kEvalavAta)' points towards a Vata imbalance in Ayurveda, often associated with neurological pain;  Sciatica, as a lower back and leg pain due to nerve root compression, shows some overlap, although further details are needed for a more confident diagnosis.",
"Ayurveda","AAB-19","UrusAdaH (kEvalavAta)","6A00.0,Other specified disorders of the hip and thigh","60%","The term 'UrusAdaH (kEvalavAta)' suggests a disorder of the hip and thigh (Uru - thigh) with a focus on Vata (air/wind) imbalance in Ayurveda, potentially mapping to a non-specific hip/thigh disorder in the absence of more detailed definitions.  The specificity is limited due to lacking diagnostic detail."
"Ayurveda","AAB-20","ekA~ggarogaH (kEvalavAta)","6A00.0 Hemiplegic migraine","90%","The term 'ekA~ggarogaH (kEvalavAta)' suggests a unilateral (ekA~gga) affliction likely related to Vata dosha,  pointing towards a neurological condition with hemiplegic manifestation, most closely resembling hemiplegic migraine in ICD-11."
"Ayurveda","AAB-21","oShThaBedaH (kEvalavAta)","Cheilitis","90%","The term 'oShThaBedaH' translates to lip fissure or cracking, and 'kEvalavAta' suggests a wind-related etiology, which does not definitively rule out other causes.  Cheilitis in ICD-11 encompasses various lip conditions, making it the most plausible mapping."
"Ayurveda","SL02 (AAB-22)","kaNThodhvaMsaH (kEvalavAta)","Other specified disorders of voice and speech","90%","The Ayurvedic description of 'kaNThodhvaMsaH (kEvalavAta)' focusing on voice changes (harsh, husky, throat irritation) directly relates to vocal cord dysfunction, fitting within the ICD-11 category of 'Other specified disorders of voice and speech' which encompasses unspecified vocal pathologies."
"Ayurveda","AAB-23","karNaSUlaH (kEvalavAta)","Ear pain, unspecified","90%","The term 'karNaSUlaH' directly translates to 'earache' and the specification '(kEvalavAta)' suggests a Vata imbalance in Ayurveda, which doesn't narrow it down sufficiently for a more precise ICD-11 mapping beyond general ear pain."
"Ayurveda","AAB-24","kampaH/vepathuH (kEvalavAta)","Essential tremor","90%","The Ayurvedic term 'kampaH/vepathuH (kEvalavAta)' describes tremor, specifically attributed to Vata imbalance.  This closely aligns with the characteristics of Essential tremor,  a neurological disorder characterized by involuntary shaking, as defined in ICD-11."
"Ayurveda","AAB-25 (SM1Y)","kaShAyAsyatA (kEvalavAta)","8G70-  Other specified disorders of the nervous system","70%","The term 'kaShAyAsyatA (kEvalavAta)' suggests a neurological disorder ('vata' in Ayurveda often relates to neurological issues), and  'kEvalavAta' implies a specific type not readily mapping to a more precise ICD-11 category, hence 'Other specified disorders of the nervous system' is the most fitting general category."
"Ayurveda","SP97 (AAB-26)","klamaH (kEvalavAta)","8B50 - Other specified fatigue and exhaustion syndromes","80%","The description of 'klamaH (kEvalavAta)' as extreme exhaustion without physical exertion, linked to dosha imbalance, aligns with the broad category of unspecified fatigue and exhaustion, lacking more specific Ayurvedic diagnostic criteria for a precise ICD-11 match."
"Ayurveda","SN41 (AAB-27)","kArShNyam (kEvalavAta)","AB12.0 Hyperpigmentation","90%","The Ayurvedic term 'kArShNyam (kEvalavAta)' describes skin discoloration attributed to increased Vata dosha, aligning with the ICD-11 category of hyperpigmentation, which encompasses various skin discoloration conditions."
"Ayurveda","AAB-28","kubjatvam (kEvalavAta)","Idiopathic scoliosis, unspecified","70%","The term 'kubjatvam (kEvalavAta)' suggests a spinal curvature, possibly idiopathic given the 'kEvalavAta' indicating a possible Ayurvedic wind imbalance as a contributing factor, though the lack of detailed definition limits certainty.  Idiopathic scoliosis in ICD-11 is the closest match for a spinal curvature of unknown cause."
"Ayurveda","SP61 (AAB-29)","kArSyam (kEvalavAta)","E44-Unspecified wasting","90%","The description of 'kArSyam (kEvalavAta)' as emaciation due to vitiation of vāta (which relates to the imbalance of bodily functions in Ayurveda) aligns strongly with the ICD-11 category of unspecified wasting, encompassing weight loss and muscle loss without explicitly identified cause."
"Ayurveda","SN4C (AAB-30)","keSaBUmisPuTanam (kEvalavAta)","L40.0, Seborrheic dermatitis","90%","The description of scaling of scalp/forehead skin, attributed to an imbalance of Vata dosha (which often relates to dry skin conditions in Ayurvedic context), strongly suggests seborrheic dermatitis as the most likely ICD-11 equivalent.  The emphasis on scaling makes other conditions like psoriasis less likely."
"Ayurveda","AAB-31","kha~jjaH/kha~jjatvam (kEvalavAta)","8A00 - Other specified disorders of the nervous system","60%","The Ayurvedic term 'kha~jjaH/kha~jjatvam (kEvalavAta)' suggests a neurological disorder, specifically mentioning 'kEvalavAta' (pure Vata), indicating a disorder potentially related to neurological dysfunction, lacking more specific details for a higher confidence mapping to a single ICD-11 code."
"Ayurveda","AAB-32","garBanASaH (kEvalavAta)","O42.0-Early miscarriage","90%","The Ayurvedic term 'garBanASaH (kEvalavAta)' indicating miscarriage caused solely by Vata dosha (an Ayurvedic concept related to air and movement) points most directly to early miscarriage, encompassing spontaneous termination of pregnancy before the 22nd week."
"Ayurveda","SP45 (AAB-33)","grIvAstamBaH (kEvalavAta)","Cervicalgia","90%","The Ayurvedic term 'grIvAstamBaH (kEvalavAta)', characterized by neck pain and stiffness due to Vata imbalance, directly maps to the ICD-11 category of Cervicalgia, which encompasses neck pain of various etiologies."
"Ayurveda","AAB-34","gudaBraMSaH (kEvalavAta)","Internal haemorrhoids","90%","The Ayurvedic term 'gudaBraMSaH (kEvalavAta)' describes haemorrhoids primarily caused by Vata dosha imbalance, aligning closely with the clinical presentation of internal haemorrhoids as defined in ICD-11, focusing on the 'kEvalavAta' (pure Vata) aspect suggesting an absence of significant inflammation or bleeding which could indicate other sub-types."
"Ayurveda","SM50 (AAB-35)","gudArtiH (kEvalavAta)","6A00.1-Anorectal pain", "90%","The description of 'gudArtiH (kEvalavAta)' as pain in the anal region radiating to the perineum and lower back, caused by vitiation of Vata (related to nerve function), strongly suggests Anorectal pain as the most precise ICD-11 match.  The emphasis on pain location aligns well with ICD-11's focus on precise anatomical localization."
"Ayurveda","AAB-36 (SP1Y)","gulPa-grahaH (kEvalavAta)","10.G.00, Ankle sprain","90%","The term 'gulPa-grahaH' (ankle seizure) and the specification 'kEvalavAta' (pure Vata dosha) in Ayurveda, which is associated with pain and inflammation in the ankle, best maps to Ankle Sprain in ICD-11, specifically focusing on the anatomical location and the likely inflammatory component of the Vata imbalance."
"Ayurveda","AAB-37","gRudhrasI (kEvalavAta)","6A00.0 - Lumbago", "80%", "The symptoms described, including gradual stiffness and twitching sensations in the gluteal region, low back, thighs, knees, and calves, along with pain and body flexion, strongly suggest Lumbago, a lower back pain condition within the ICD-11 classification."
"Ayurveda","SK91 (AAB-38)","ghrANanASaH/nAsAhuNDanam (kEvalavAta)","Loss of smell", "90%", "The Ayurvedic term 'ghrANanASaH/nAsAhuNDanam (kEvalavAta)' describes a loss or decrease in the sense of smell, primarily attributed to Vata dosha affecting the nasal passages. This directly corresponds to 'Loss of smell' within the ICD-11 classification, encompassing various etiologies including those affecting nasal pathways."
"Ayurveda","AAB-39(SP1Y)","jAnuBedaH (kEvalavAta)","Osteoarthritis of the knee", "70%", "The term 'jAnuBedaH' translates to 'knee pain' and 'kEvalavAta' suggests a type of pain related to Vata dosha in Ayurveda, often associated with degenerative joint disease like osteoarthritis.  While not a direct equivalent, osteoarthritis of the knee is the closest ICD-11 match based on the limited information."
"Ayurveda","AAB-40 (SP1Y)","jAnuviSleShaH (kEvalavAta)","6A01, Osteoarthritis of knee", "70%", "The term 'jAnuviSleShaH' translates to knee joint affliction, and 'kEvalavAta' suggests a primary affliction by Vata (wind) dosha, which in Ayurvedic context often relates to pain and degenerative joint disease, aligning with the ICD-11 code for osteoarthritis of the knee.  Further details are needed for a higher confidence."
"Ayurveda","SP95 (AAB-41)","jRumBA (kEvalavAta)","8E00-Other specified disorders of sleep-wake rhythm","90%","The predominant symptom of 'excessive yawning' points towards a sleep-wake rhythm disorder, with the Ayurvedic explanation of 'increased vatadosha' representing an underlying imbalance rather than a specific ICD-11 diagnosis.  'Other specified disorders' is used due to the lack of more precise information to pinpoint a sub-category."
"Ayurveda","AAB-42(SP98)","tamaH (kEvalavAta)","8G70-G72 (Other specified peripheral neuropathies)","60%","The term 'tamaH (kEvalavAta)' suggests a disorder primarily involving Vata dosha in Ayurveda.  While lacking precise details, a purely Vata imbalance could manifest as varied neurological symptoms consistent with peripheral neuropathies, although this is a broad interpretation and requires more clinical information for a precise diagnosis."
"Ayurveda","AAB-43","timiraH (kEvalavAta)","Glaucoma","70%","'Timira' in Ayurveda, especially specified as 'kevalavata' (meaning solely caused by Vata dosha), often manifests as a visual impairment, aligning with the symptoms of glaucoma, though further clinical information is needed for a definitive diagnosis."
"Ayurveda","AAB-44 (SN9Y)","tvakSUnyatA (kEvalavAta)","Dry skin","60%","While 'tvakSUnyatA (kEvalavAta)' points to skin dryness possibly related to Vata imbalance in Ayurveda,  the lack of specific clinical details restricts definitive ICD-11 mapping; dry skin is the closest general match."
"Ayurveda","AAB-45 (SP9Y)","todaH (kEvalavAta)","Neuralgia and other neurovascular disorders","60%","The term 'todaH (kEvalavAta)' suggests a pain condition (todaH) possibly related to Vata dosha imbalance (kEvalavAta) in Ayurveda, which could broadly map to neuropathic pain, a category within Neuralgia and other neurovascular disorders in ICD-11; however, more information is needed for a definitive mapping."
"Ayurveda","AAB-46(SK30)","daNDakaH (kEvalavAta)","8B50-Other specified disorders of the nervous system","60%","While a precise mapping is difficult without further definition of 'daNDakaH (kEvalavAta)',  'kEvalavAta' suggesting a purely 'vata'-related disorder in Ayurveda, points towards a neurological condition, best broadly categorized under 'Other specified disorders of the nervous system' in ICD-11  pending further details."
"Ayurveda","AAB-47","dantaBedaH (kEvalavAta)","11.07-Toothache","90%","'DantaBedaH' translates to toothache, and '(kEvalavAta)' suggests a pain attributed to Vata dosha in Ayurveda, which aligns with the general pain and inflammation associated with toothache as categorized in ICD-11 chapter 11."
"Ayurveda","AAB-48 (SM1Y)","dantaSaithilyam (kEvalavAta)","Tooth loss", "70%", "The Ayurvedic term 'dantaSaithilyam' (दन्तशैथिल्यम्), meaning tooth loosening or weakness, and the specification 'kEvalavAta' (केवलवात) suggesting a Vata-related etiology, most closely maps to tooth loss as the most likely ultimate outcome, although the ICD-11 might require further specification based on the cause."
"Ayurveda","SN60(AAB-49)","nakhaBedaH (kEvalavAta)","Disorders of nails and nail apparatus","80%","The description of whitish, mica-coloured discoloration and brittleness of nails in 'nakhaBedaH (kEvalavAta)' directly points to a condition affecting the nails, aligning with the broad category of 'Disorders of nails and nail apparatus' in ICD-11, although a more specific ICD-11 code may require further clinical details."
"Ayurveda","AAB-50(SN7Y)","hrasvakeSaH (kEvalavAta)","Alopecia areata","60%","The term 'hrasvakeSaH' translates to 'short hair', and the qualifier 'kEvalavAta' suggests a possible etiology related to Vata dosha imbalance in Ayurveda, potentially aligning with the patchy hair loss characteristic of Alopecia areata, though more information is needed for a confident mapping."
"Ayurveda","AAB-51","nirAmavAtaH","Osteoarthritis, unspecified","60%","While lacking detailed definitions, 'nirAmavAtaH'  suggests a form of arthritis based on the root 'Ama' (related to inflammation/toxins) and 'Vata' (related to air/movement in Ayurvedic physiology), making Osteoarthritis a plausible, albeit uncertain, ICD-11 match."
"Ayurveda","AAB-52","pakShAghAtaH/pakShavadhaH (kEvalavAta)","6A00.0-Ischemic stroke", "90%", "PakShaghAtaH/pakShavadhaH (kEvalavAta) describes a paralysis caused solely by Vata dosha imbalance in Ayurveda, which aligns with the pathology of ischemic stroke, characterized by disruption of blood supply to the brain, resulting in neurological deficits like paralysis."
"Ayurveda","AAB-53(SK21)","pA~ggulyam (kEvalavAta)","8A00-Other specified disorders of the nervous system","60%","While a precise mapping is difficult without a complete definition of  'pA~ggulyam (kEvalavAta)', the mention of 'kEvalavAta' (pure Vata) suggests a neurological disorder in Ayurveda, leading to a broad categorization under 'Other specified disorders of the nervous system' in ICD-11.  More specific details are needed for a higher confidence mapping."
"Ayurveda","AAB-54(SK5Y)","pAdaBraMSaH (kEvalavAta)","Peripheral nerve disorders due to other specified causes","90%","The Ayurvedic term 'pAdaBraMSaH (kEvalavAta)' suggests a foot disorder (pAda) with weakness or paralysis (BraMSaH) caused by Vata imbalance (kEvalavAta), aligning with the broad category of peripheral nerve disorders.  The lack of specifics in the provided definition prevents a more precise ICD-11 mapping."
"Ayurveda","AAB-55(SP4Y)","pAdaSUlaH (kEvalavAta)","Neuralgia and other nerve pain", "90%", "पादशूलः (केवलवात) translates to 'foot pain (due to Vata)' in Ayurveda.  'Vata' is related to neurological function, and 'foot pain' points to a localized neuralgia, making 'Neuralgia and other nerve pain' the most suitable ICD-11 category."
"Ayurveda","AAB-56(SP45)","pAdasuptatA (kEvalavAta)","Peripheral neuropathy", "90%", "पादसुप्तता (केवलवात), transliterated as pAdasuptatA (kEvalavAta), describes numbness in the feet, attributed to Vata imbalance in Ayurveda.  This aligns well with the symptoms of peripheral neuropathy, encompassing sensory disturbances in the extremities as described in ICD-11."
"Ayurveda","SN4R(AAB-57)","pAruShyam (kEvalavAta)","EB10.0-Atopic dermatitis","90%","The Ayurvedic description of 'pAruShyam (kEvalavAta)'  characterized by rough, thickened skin with itching, strongly suggests atopic dermatitis, especially considering the mention of vitiated Vata (air) dosha which correlates with an imbalance potentially leading to inflammatory skin conditions like eczema."
"Ayurveda","AAB-58","pArSvAvamardaH (kEvalavAta)","6A00.0,Other specified unilateral spinal pain","90%","The Sanskrit term 'pArSvAvamardaH' translates to 'pain in the side' or 'lateral pain', and the qualifier 'kEvalavAta' suggests a possible etiology in Vata imbalance, but it would best fit as a unilateral pain, in the absence of more specific information.  This most closely aligns with 'Other specified unilateral spinal pain' within ICD-11.  Note that other ICD-11 codes could also apply given a fuller definition"
"Ayurveda","AAB-59(SP9Y)","piNDikodveShTanam (kEvalavAta)","8G70- (Neuralgic pain)", "70%","'PiNDikodveShTanam (kEvalavAta)' suggests a pain condition (veShTanam) localized in the piNDika (possibly referring to a specific anatomical area, requiring further clarification) primarily of Vata origin (kEvalavAta) within Ayurvedic principles.  This aligns broadly with Neuralgic Pain in ICD-11, though more precision would need further details on the affected area and associated symptoms."
"Ayurveda","AAB-60","purIShAtigADhatvam (kEvalavAta)","Constipation","90%","The Ayurvedic term 'purIShAtigADhatvam' refers to excessive hardness of stool, a key characteristic of constipation,  and 'kEvalavAta' suggests a Vata-predominant etiology, which doesn't negate the constipation diagnosis itself."
"Ayurveda","SP42(AAB-61)","pRuShTha-grahaH (kEvalavAta)","Musculoskeletal pain of the back and other specified parts of the trunk (excluding the spine)", "90%", "The description of 'pRuShTha-grahaH (kEvalavAta)' as backache with stiffness and immobility, primarily due to vitiated Vata (air/wind dosha), directly correlates with musculoskeletal pain, specifically affecting the back.  The ICD-11 term encompasses the back pain and immobility aspects without specifying a precise spinal origin."
"Ayurveda","AAB-62","pralApakaH (kEvalavAta)","Delirium","60%","'PralApakaH (kEvalavAta)' suggests a state of mental confusion and incoherence primarily attributed to Vata imbalance in Ayurveda, which aligns with the core symptoms of delirium as defined in ICD-11, although further clinical details are needed for higher confidence."
"Ayurveda","AAB-63","bAdhiryam (kEvalavAta)","8A70-Sensorineural hearing loss","90%","The term 'bAdhiryam (kEvalavAta)' suggests hearing loss attributed solely to Vata dosha in Ayurveda.  Given 'kEvalavAta' implies a specific etiology rather than a mixed condition, sensorineural hearing loss is the most likely ICD-11 equivalent."
"Ayurveda","AAB-64(SP4Y)","bAhuSoShaH (kEvalavAta)","8M80.1- Other specified osteochondroses","60%","The term 'bAhuSoShaH (kEvalavAta)' suggests atrophy or wasting of the arm, potentially linked to a condition involving bone and cartilage, aligning it with  'Other specified osteochondroses', although further information is needed for a more precise diagnosis."
"Ayurveda","AAB-65(SP9Y)","balahAniH (kEvalavAta)","8A70 - Other specified disorders of the nervous system","60%","'Balahani (kevalavata)' suggests weakness (balahani) caused solely by Vata dosha (kevalavata) in Ayurveda.  While a direct equivalent is lacking,  'Other specified disorders of the nervous system' is a plausible ICD-11 category given Vata's association with neurological function in Ayurvedic theory, acknowledging the inherent limitations in cross-system mapping."
"Ayurveda","AAB-66(SP9Y)","BedaH (kEvalavAta)","8G70-Peripheral neuropathy due to other specified diseases, disorders, and injuries", "60%","While 'BedaH (kEvalavAta)' lacks a precise definition, the reference to 'kEvalavAta' (pure Vata) in Ayurveda suggests a condition involving the nervous system; peripheral neuropathy, although broad, represents a potential manifestation of such an imbalance given Vata's association with movement and nerve function, making it a possible, but not definitive, mapping.",
"Ayurveda","AAB-67","BIrutA (kEvalavAta)","8E00, Unspecified anxiety disorder","60%","While lacking precise definitions,  'Bīrutā (kevalavāta)' appearing to describe fear or anxiety ('bīrutā' meaning timidity or fear) suggests a possible link to unspecified anxiety disorders in ICD-11, though more information is needed for a definitive mapping."
