suggested_icd_name,ayurveda_term,ayurveda_code,ayurveda_confidence,ayurveda_justification,siddha_term,siddha_code,siddha_confidence,siddha_justification,unani_term,unani_code,unani_confidence,unani_justification
6A00.0 Tinnitus,aSabdaSravaNam (kEvalavAta),AAB-8,60%,"The term 'aSabdaSravaNam' translates to 'hearing sounds' and '(kEvalavAta)' suggests a Vata imbalance, potentially correlating to a subjective auditory sensation without an external source, aligning with the ICD-11 definition of Tinnitus.",,,,,,,,
Insomnia,akAlaSayanam,RA-2 (SQ2Y),60%,"While 'akAlaSayanam' literally translates to 'inappropriate sleep' or 'sleep at the wrong time,' it lacks detailed clinical information to confidently map to a specific ICD-11 sleep disorder.  Insomnia, encompassing difficulty initiating or maintaining sleep, is a reasonable, albeit broad, association given the limited description.",,,,,Al-Nawm al-Muḍṭarib,Q-55,90%,"The Unani term 'Al-Nawm al-Muḍṭarib' translates to 'disturbed sleep', directly corresponding to the core symptom of Insomnia as defined in ICD-11; the vernacular term further strengthens this mapping."
Glaucoma,shvetanEtratvam,ACB-31,60%,"The term 'shvetanEtratvam' (श्वेतनेत्रत्वम्) translates to 'whiteness of the eyes', a potential symptom of Glaucoma, although further information about the definition is needed for a more confident mapping.  This is a tentative mapping based on the limited information provided.",Neṟṟicūlai Vātam,Z18,90%,"The provided definition of 'Neṟṟicūlai Vātam', including eye pain, and the explicit mention of 'Glucoma' as a short definition, strongly suggests a direct mapping to Glaucoma within ICD-11, despite the additional symptoms which might indicate other conditions.",,,,
"8G40, Trigeminal neuralgia",akShivyudAsaH (kEvalavAta),AAB-11,70%,"The term 'akShivyudAsaH (kEvalavAta)' suggests a unilateral pain condition, possibly affecting the trigeminal nerve distribution,  given 'kEvalavAta' implying a Vata imbalance in Ayurveda, which can manifest as sharp, shooting pains consistent with trigeminal neuralgia.  The lack of detailed definition limits confidence.",,,,,,,,
Neuralgia of the trigeminal nerve,akShiSUlaH (kEvalavAta),AAB-12,90%,"The term 'akShiSUlaH (kEvalavAta)' suggests a pain (shula) in the eye region (akShi), specifically attributed to Vata (wind) in Ayurvedic context, which often maps to neuropathic pain.  Trigeminal neuralgia, characterized by sharp, stabbing pain in the face, including the eye region, is the closest ICD-11 match.",,,,,,,,
Unspecified disorder of the nervous system,svABAvikaH,V,60%,"The term 'svABAvikaH' (स्वाभाविकः)  lacks specific clinical detail.  While 'natural' or 'normal' in Sanskrit, its application in a medical context without further definition makes a precise ICD-11 mapping uncertain; hence, 'Unspecified disorder of the nervous system' serves as a broad, cautious classification.",nan,LAC,20%,"The lack of information regarding the Siddha code 'LAC' prevents any specific ICD-11 mapping.  'Unspecified disorder of the nervous system' is a broad category that might encompass various conditions, but it's a highly uncertain assignment.",Namaṭ-i-Asbāb,OF,60%,"'Pattern of causes' is too general to map precisely to a specific ICD-11 code.  It suggests a diverse range of potential underlying neurological issues, hence 'Unspecified disorder of the nervous system' is the broadest and most suitable match, although lacking specificity."
"8G70- Epilepsy, unspecified",AkShepakaH (kEvalavAta),AAB-14,60%,"The term 'AkShepakaH (kEvalavAta)' suggesting a purely Vata-related convulsive disorder, possibly indicates an epileptic seizure; however, without further clinical details, a specific epilepsy subtype cannot be definitively determined.  The ICD-11 code covers a broad spectrum of epilepsy.",,,,,,,,
Hyperacusis,uccaiHSrutiH (kEvalavAta),SK84 (AAB-15),90%,"The Ayurvedic term 'uccaihsrutiH (kevalavata)' describes intolerance to loud sounds, a key symptom of hyperacusis, aligning with the ICD-11 definition which focuses on increased sensitivity to everyday sounds without hearing loss.",,,,,Harb al-Udhun,C-14,90%,"The provided definition of 'Harb al-Udhun' – hypersensitivity to loud sounds due to auditory nerve weakness – directly corresponds to the ICD-11 definition of Hyperacusis, a condition characterized by excessive sensitivity to everyday sounds."
"Pain in the abdomen, unspecified",kaPaja-pariNAmaSUlaH,EB-10.10.3,60%,"While the provided term 'kaPaja-pariNAmaSUlaH' suggests pain (shula) resulting from Kapha imbalance (a phlegmatic dosha in Ayurveda), the lack of specific location or characterization limits precise ICD-11 mapping.  Abdominal pain is the most likely broad category, acknowledging the inherent ambiguity.",,,,,,,,
8G70-Cervicalgia,udAvartaH (kEvalavAta),AAB-17,60%,"Udāvarta, specifically 'kēvalavāta' suggesting a localized Vata disorder,  points towards neck pain, although further details on symptoms are needed for higher confidence.  Cervicalgia in ICD-11 is the closest match based on this limited information.",,,,,,,,
"6A00.0,Other specified disorders of the hip and thigh",UrusAdaH (kEvalavAta),AAB-19,60%,"The term 'UrusAdaH (kEvalavAta)' suggests a disorder of the hip and thigh (Uru - thigh) with a focus on Vata (air/wind) imbalance in Ayurveda, potentially mapping to a non-specific hip/thigh disorder in the absence of more detailed definitions.  The specificity is limited due to lacking diagnostic detail.",,,,,,,,
6A00.0 Hemiplegic migraine,ekA~ggarogaH (kEvalavAta),AAB-20,90%,"The term 'ekA~ggarogaH (kEvalavAta)' suggests a unilateral (ekA~gga) affliction likely related to Vata dosha,  pointing towards a neurological condition with hemiplegic manifestation, most closely resembling hemiplegic migraine in ICD-11.",,,,,,,,
Cheilitis,khaNDauShThaH,GA-9,60%,"Given the lack of detailed definitions for 'khaNDauShThaH', a reasonable assumption based on the transliteration suggesting 'split lip' or 'lip fissure' points towards Cheilitis, encompassing various lip conditions, though more information is needed for higher confidence.",,,,,Waram al-Shafatayn,C-63,95%,"The Unani term 'Waram al-Shafatayn' directly translates to 'inflammation of the lips', which is the precise definition of Cheilitis; the mention of 'putrified humours' points to an underlying infection or inflammation, consistent with various Cheilitis subtypes."
Other specified disorders of voice and speech,kaNThodhvaMsaH (kEvalavAta),SL02 (AAB-22),90%,"The Ayurvedic description of 'kaNThodhvaMsaH (kEvalavAta)' focusing on voice changes (harsh, husky, throat irritation) directly relates to vocal cord dysfunction, fitting within the ICD-11 category of 'Other specified disorders of voice and speech' which encompasses unspecified vocal pathologies.",,,,,,,,
"Ear pain, unspecified",karNaSUlaH,SK87 (J-20),90%,"The Ayurvedic term 'karNaSUlaH' describes earache, which directly maps to the broad ICD-11 category of ear pain.  The additional symptoms of headache and coryza are not specific enough to warrant a more precise ICD-11 code.",,,,,Waja‘-i-Gosh-i-Aṭfāl,C-1.1,90%,"The Unani term 'Waja‘-i-Gosh-i-Aṭfāl' explicitly describes ear pain in infants, aligning directly with the broad ICD-11 category of unspecified ear pain, encompassing various potential underlying causes common in infants."
Essential tremor,SiraHkampaH,F-11 (SK52),90%,"SiraHkampaH (शिरःकम्पः), meaning head trembling or shaking, directly correlates with the clinical presentation of Essential Tremor, characterized by involuntary rhythmic shaking primarily affecting the head and hands, as defined in ICD-11.",,,,,Irti‘ād Ruṭūbī,A-41.1,80%,"The gradual worsening, intermittent nature, and association with sleep onset in 'Irti‘ād Ruṭūbī', despite the mention of 'moistness', aligns more closely with the characteristics of essential tremor than other neurological conditions in ICD-11, particularly considering the trembling of muscles."
8G70-  Other specified disorders of the nervous system,kaShAyAsyatA (kEvalavAta),AAB-25 (SM1Y),70%,"The term 'kaShAyAsyatA (kEvalavAta)' suggests a neurological disorder ('vata' in Ayurveda often relates to neurological issues), and  'kEvalavAta' implies a specific type not readily mapping to a more precise ICD-11 category, hence 'Other specified disorders of the nervous system' is the most fitting general category.",,,,,,,,
8B50 - Other specified fatigue and exhaustion syndromes,klamaH (kEvalavAta),SP97 (AAB-26),80%,"The description of 'klamaH (kEvalavAta)' as extreme exhaustion without physical exertion, linked to dosha imbalance, aligns with the broad category of unspecified fatigue and exhaustion, lacking more specific Ayurvedic diagnostic criteria for a precise ICD-11 match.",,,,,,,,
AB12.0 Hyperpigmentation,kArShNyam (kEvalavAta),SN41 (AAB-27),90%,"The Ayurvedic term 'kArShNyam (kEvalavAta)' describes skin discoloration attributed to increased Vata dosha, aligning with the ICD-11 category of hyperpigmentation, which encompasses various skin discoloration conditions.",,,,,,,,
"Idiopathic scoliosis, unspecified",kubjatvam (kEvalavAta),AAB-28,70%,"The term 'kubjatvam (kEvalavAta)' suggests a spinal curvature, possibly idiopathic given the 'kEvalavAta' indicating a possible Ayurvedic wind imbalance as a contributing factor, though the lack of detailed definition limits certainty.  Idiopathic scoliosis in ICD-11 is the closest match for a spinal curvature of unknown cause.",,,,,,,,
E44-Unspecified wasting,kArSyam (kEvalavAta),SP61 (AAB-29),90%,"The description of 'kArSyam (kEvalavAta)' as emaciation due to vitiation of vāta (which relates to the imbalance of bodily functions in Ayurveda) aligns strongly with the ICD-11 category of unspecified wasting, encompassing weight loss and muscle loss without explicitly identified cause.",,,,,,,,
"L40.0, Seborrheic dermatitis",keSaBUmisPuTanam (kEvalavAta),SN4C (AAB-30),90%,"The description of scaling of scalp/forehead skin, attributed to an imbalance of Vata dosha (which often relates to dry skin conditions in Ayurvedic context), strongly suggests seborrheic dermatitis as the most likely ICD-11 equivalent.  The emphasis on scaling makes other conditions like psoriasis less likely.",,,,,,,,
8A00 - Other specified disorders of the nervous system,kha~jjaH/kha~jjatvam (kEvalavAta),AAB-31,60%,"The Ayurvedic term 'kha~jjaH/kha~jjatvam (kEvalavAta)' suggests a neurological disorder, specifically mentioning 'kEvalavAta' (pure Vata), indicating a disorder potentially related to neurological dysfunction, lacking more specific details for a higher confidence mapping to a single ICD-11 code.",,,,,,,,
O42.0-Early miscarriage,garBanASaH (kEvalavAta),AAB-32,90%,"The Ayurvedic term 'garBanASaH (kEvalavAta)' indicating miscarriage caused solely by Vata dosha (an Ayurvedic concept related to air and movement) points most directly to early miscarriage, encompassing spontaneous termination of pregnancy before the 22nd week.",,,,,,,,
Cervicalgia,grIvAhuNDanam,AAB-112(SK52),90%,"The term 'grIvAhuNDanam', meaning neck pain, and the mention of 'kevalaVata' (suggesting Vata imbalance affecting the neck) strongly suggest Cervicalgia (neck pain) as the most appropriate ICD-11 mapping.",,,,,,,,
Internal haemorrhoids,uttarakAlaja-arSaH,EE-3.11,90%,"The Sanskrit term 'uttarakAlaja-arSaH' (उत्तरकालज-अर्शः) refers to haemorrhoids, specifically those that develop later in life.  This directly corresponds to the ICD-11 classification for Internal haemorrhoids, which encompass various forms and developmental stages.",,,,,,,,
6A00.1-Anorectal pain,gudArtiH (kEvalavAta),SM50 (AAB-35),90%,"The description of 'gudArtiH (kEvalavAta)' as pain in the anal region radiating to the perineum and lower back, caused by vitiation of Vata (related to nerve function), strongly suggests Anorectal pain as the most precise ICD-11 match.  The emphasis on pain location aligns well with ICD-11's focus on precise anatomical localization.",,,,,,,,
"10.G.00, Ankle sprain",gulPa-grahaH (kEvalavAta),AAB-36 (SP1Y),90%,"The term 'gulPa-grahaH' (ankle seizure) and the specification 'kEvalavAta' (pure Vata dosha) in Ayurveda, which is associated with pain and inflammation in the ankle, best maps to Ankle Sprain in ICD-11, specifically focusing on the anatomical location and the likely inflammatory component of the Vata imbalance.",,,,,,,,
6A00.0 - Lumbago,SroNiBedaH (kEvalavAta),AAB-102,70%,"While 'SroNiBedaH' broadly translates to pelvic pain,  'kEvalavAta' (only Vata) suggests a focus on pain caused by Vata dosha imbalance in Ayurveda,  which often manifests as low back pain, aligning with Lumbago in ICD-11.  More context on SroNiBedaH is needed for higher confidence.",,,,,,,,
Loss of smell,ghrANanASaH/nAsAhuNDanam (kEvalavAta),SK91 (AAB-38),90%,"The Ayurvedic term 'ghrANanASaH/nAsAhuNDanam (kEvalavAta)' describes a loss or decrease in the sense of smell, primarily attributed to Vata dosha affecting the nasal passages. This directly corresponds to 'Loss of smell' within the ICD-11 classification, encompassing various etiologies including those affecting nasal pathways.",,,,,,,,
Osteoarthritis of the knee,jAnuBedaH (kEvalavAta),AAB-39(SP1Y),70%,"The term 'jAnuBedaH' translates to 'knee pain' and 'kEvalavAta' suggests a type of pain related to Vata dosha in Ayurveda, often associated with degenerative joint disease like osteoarthritis.  While not a direct equivalent, osteoarthritis of the knee is the closest ICD-11 match based on the limited information.",,,,,,,,
"6A01, Osteoarthritis of knee",jAnuviSleShaH (kEvalavAta),AAB-40 (SP1Y),70%,"The term 'jAnuviSleShaH' translates to knee joint affliction, and 'kEvalavAta' suggests a primary affliction by Vata (wind) dosha, which in Ayurvedic context often relates to pain and degenerative joint disease, aligning with the ICD-11 code for osteoarthritis of the knee.  Further details are needed for a higher confidence.",,,,,,,,
8E00-Other specified disorders of sleep-wake rhythm,jRumBA (kEvalavAta),SP95 (AAB-41),90%,"The predominant symptom of 'excessive yawning' points towards a sleep-wake rhythm disorder, with the Ayurvedic explanation of 'increased vatadosha' representing an underlying imbalance rather than a specific ICD-11 diagnosis.  'Other specified disorders' is used due to the lack of more precise information to pinpoint a sub-category.",,,,,,,,
8G70-G72 (Other specified peripheral neuropathies),tamaH (kEvalavAta),AAB-42(SP98),60%,"The term 'tamaH (kEvalavAta)' suggests a disorder primarily involving Vata dosha in Ayurveda.  While lacking precise details, a purely Vata imbalance could manifest as varied neurological symptoms consistent with peripheral neuropathies, although this is a broad interpretation and requires more clinical information for a precise diagnosis.",,,,,,,,
Neuralgia and other neurovascular disorders,todaH (kEvalavAta),AAB-45 (SP9Y),60%,"The term 'todaH (kEvalavAta)' suggests a pain condition (todaH) possibly related to Vata dosha imbalance (kEvalavAta) in Ayurveda, which could broadly map to neuropathic pain, a category within Neuralgia and other neurovascular disorders in ICD-11; however, more information is needed for a definitive mapping.",,,,,,,,
8B50-Other specified disorders of the nervous system,daNDakaH (kEvalavAta),AAB-46(SK30),60%,"While a precise mapping is difficult without further definition of 'daNDakaH (kEvalavAta)',  'kEvalavAta' suggesting a purely 'vata'-related disorder in Ayurveda, points towards a neurological condition, best broadly categorized under 'Other specified disorders of the nervous system' in ICD-11  pending further details.",,,,,,,,
11.07-Toothache,dantaBedaH (kEvalavAta),AAB-47,90%,"'DantaBedaH' translates to toothache, and '(kEvalavAta)' suggests a pain attributed to Vata dosha in Ayurveda, which aligns with the general pain and inflammation associated with toothache as categorized in ICD-11 chapter 11.",,,,,,,,
Tooth loss,dantaSaithilyam (kEvalavAta),AAB-48 (SM1Y),70%,"The Ayurvedic term 'dantaSaithilyam' (दन्तशैथिल्यम्), meaning tooth loosening or weakness, and the specification 'kEvalavAta' (केवलवात) suggesting a Vata-related etiology, most closely maps to tooth loss as the most likely ultimate outcome, although the ICD-11 might require further specification based on the cause.",,,,,,,,
Disorders of nails and nail apparatus,nakhaBedaH (kEvalavAta),SN60(AAB-49),80%,"The description of whitish, mica-coloured discoloration and brittleness of nails in 'nakhaBedaH (kEvalavAta)' directly points to a condition affecting the nails, aligning with the broad category of 'Disorders of nails and nail apparatus' in ICD-11, although a more specific ICD-11 code may require further clinical details.",,,,,Ẓufra Ṭalqiyya,J-32,90%,"The Unani description of Ẓufra Ṭalqiyya as brittle nails with whiteness due to dryness and anaemia directly maps to the broad category of nail disorders in ICD-11, encompassing conditions involving nail fragility and structural changes."
Alopecia areata,rUhyA/ indraluptaH,SN90 (O-39),90%,"The description of 'rUhyA/ indraluptaH' – patchy hair loss from the scalp, beard, and eyebrows leaving shiny patches – directly corresponds to the clinical presentation of Alopecia areata as defined in ICD-11,  especially considering the mention of aggravated doshas impacting hair roots which can be interpreted as underlying causative factors.",Vaẕukkai,BUB1.7,90%,"The Siddha term 'Vaẕukkai', describing baldness primarily on the head with a mention of gradual hair loss in men from the vertex and frontotemporal regions, aligns closely with the clinical presentation of Alopecia areata,  a condition characterized by patchy hair loss.  While other forms of alopecia exist, the description best fits this ICD-11 category.",Tarqīq al-Sha‘r,J-26,90%,"The Unani term 'Tarqīq al-Sha‘r' directly translates to 'thinning of hair', which is a key characteristic of Alopecia areata, a specific type of hair loss, as classified in ICD-11."
"Osteoarthritis, unspecified",asthiCillitaH,LA-2.5,70%,"The description 'slight elevation of bones on the sides' suggests bony irregularity, a common feature of osteoarthritis, though without further information, a precise ICD-11 code cannot be definitively assigned.  The term 'asthiCillitaH' implies a bone-related issue.",,,,,,,,
6A00.0-Ischemic stroke,pakShAghAtaH/pakShavadhaH (kEvalavAta),AAB-52,90%,"PakShaghAtaH/pakShavadhaH (kEvalavAta) describes a paralysis caused solely by Vata dosha imbalance in Ayurveda, which aligns with the pathology of ischemic stroke, characterized by disruption of blood supply to the brain, resulting in neurological deficits like paralysis.",,,,,,,,
8A00-Other specified disorders of the nervous system,udAnAvRutaprANavAtaH,AAD-1.6,60%,"The symptoms described – loss of activities, vitality, strength, and complexion, culminating in death – point towards a severe, generalized, and ultimately fatal neurological condition.  While lacking precise specificity, 'Other specified disorders of the nervous system' is the most encompassing ICD-11 category fitting this broad, potentially fatal presentation.",Muṇṭellu Varmam,SAD1.4,80%,"The symptoms of diarrhoea, increased phlegm, chills, urinary incontinence, postural instability, and syncope suggest a neurological disorder affecting autonomic function, broadly fitting under 'Other specified disorders of the nervous system' in ICD-11, though a more precise diagnosis requires further clinical examination.",,,,
Peripheral nerve disorders due to other specified causes,pAdaBraMSaH (kEvalavAta),AAB-54(SK5Y),90%,"The Ayurvedic term 'pAdaBraMSaH (kEvalavAta)' suggests a foot disorder (pAda) with weakness or paralysis (BraMSaH) caused by Vata imbalance (kEvalavAta), aligning with the broad category of peripheral nerve disorders.  The lack of specifics in the provided definition prevents a more precise ICD-11 mapping.",,,,,,,,
Neuralgia and other nerve pain,SyAvAruNAsyatA (kEvalavAta),AAB-101,60%,"The term 'SyAvAruNAsyatA (kEvalavAta)' suggests a pain condition ('AruNAsyatA' possibly relating to pain/inflammation), and 'kEvalavAta' implying a Vata-related imbalance in Ayurveda, which is often associated with neurological symptoms.  While not a perfect match, Neuralgia and other nerve pain is the closest ICD-11 category given limited information.",,,,,,,,
Peripheral neuropathy,aMsaPalaka-marmaviddhaH,LD-2.14,90%,"The symptoms of 'bāhusvāpaḥ' (numbness in arms) and 'bāhuśōṣaḥ' (wasting of arms) described in the Ayurvedic term are key features of peripheral neuropathy, encompassing various causes as classified within ICD-11.",Eripittam,Z$20,90%,"The description of 'Eripittam' encompassing burning sensation, numbness, and pain in the lower limbs, eyes, and palms strongly aligns with the symptoms of peripheral neuropathy as defined in ICD-11, encompassing various etiologies.",Khadar Yubsī,A-42.6,90%,"The Unani term 'Khadar Yubsī' describes numbness (loss of sensation) due to dryness and excessive evacuation, aligning well with the symptoms and potential causes of peripheral neuropathy as classified in ICD-11, encompassing various etiologies that can lead to sensory deficits."
EB10.0-Atopic dermatitis,pAruShyam (kEvalavAta),SN4R(AAB-57),90%,"The Ayurvedic description of 'pAruShyam (kEvalavAta)'  characterized by rough, thickened skin with itching, strongly suggests atopic dermatitis, especially considering the mention of vitiated Vata (air) dosha which correlates with an imbalance potentially leading to inflammatory skin conditions like eczema.",,,,,,,,
